Standort Code;Ökosystemtyp;Jahr;Fracht Bulk NH4;Fracht Bulk NO3;Fracht MD Red NH4;Fracht MD Ox NO3;Fracht PS NH3;Fracht MD Ox HNO3;Fracht PS NO2;Fracht Summe Red;Fracht Summe Ox;Fracht Summe;Niederschlag
;;;kg N ha-1 a-1;kg N ha-1 a-1;kg N ha-1 a-1;kg N ha-1 a-1;kg N ha-1 a-1;kg N ha-1 a-1;kg N ha-1 a-1;kg N ha-1 a-1;kg N ha-1 a-1;kg N ha-1 a-1;mm a-1
;;;Gravitationsdep. NH4-N;Gravitationsdep. NO3-N;Interzeption NH4-N;Interzeption NO3-N;Gasdep. NH3-N;Gasdep. HNO3-N;Gasdep. NO2-N;aus NH3-Quellen;aus NOx-Quellen;;
BA;Mischwald;2001;8.7;5.9;1.7;0.9;16.6;0.4;1.7;27.0;8.9;35.8;1843
BA;Mischwald;2002;10.4;6.3;1.7;0.8;15.5;0.4;1.4;27.6;8.9;36.5;1939
BA;Mischwald;2003;8.7;5.7;1.8;1.0;16.7;0.9;1.8;27.2;9.3;36.6;1489
BA;Mischwald;2004;8.7;5.5;1.1;0.7;11.2;0.9;1.7;21.0;8.8;29.7;1274
BA;Mischwald;2005;9.8;6.1;1.3;0.7;11.5;0.9;1.7;22.6;9.3;31.9;1343
BA;Mischwald;2006;10.7;6.5;1.4;0.7;16.9;0.9;1.9;29.1;9.9;39.0;1489
BA;Mischwald;2007;8.2;5.4;1.3;0.7;14.4;0.9;1.8;23.8;8.7;32.5;1482
BA;Mischwald;2008;7.0;5.1;1.1;0.7;11.6;1.0;1.9;19.7;8.7;28.5;1401
BA;Mischwald;2009;7.5;5.1;1.2;0.7;15.4;0.9;1.7;24.1;8.3;32.4;1421
BA;Mischwald;2010;7.0;5.6;1.3;0.7;13.4;0.9;1.9;21.7;9.0;30.7;1457
BA;Mischwald;2011;6.9;4.9;1.3;0.8;15.9;1.0;1.8;24.1;8.5;32.5;1533
BA;Mischwald;2012;7.4;5.8;0.9;0.7;13.6;0.9;1.7;21.9;9.0;30.9;1679
BA;Mischwald;2013;7.7;6.1;1.1;0.8;12.1;1.0;1.8;20.9;9.7;30.6;1723
BA;Mischwald;2014;7.4;5.1;0.8;0.6;15.9;0.9;1.7;24.2;8.3;32.5;1700
BA;Mischwald;2015;6.0;4.3;0.8;0.6;15.0;0.8;1.7;21.8;7.4;29.1;1306
BA;Mischwald;2016;7.4;5.3;1.0;0.6;13.2;0.7;1.5;21.6;8.2;29.8;1801
BA;Mischwald;2017;8.2;5.7;1.0;0.6;14.7;0.9;1.5;23.9;8.7;32.6;1797
BA;Mischwald;2018;7.2;3.9;1.1;0.7;21.4;0.8;1.5;29.7;7.0;36.7;1122
BA;Mischwald;2019;7.4;4.3;0.8;0.6;20.0;0.6;1.3;28.1;6.8;34.9;1625
BA;Mischwald;2020;5.3;2.9;1.1;0.7;17.2;0.9;1.1;23.6;5.5;29.0;1430
BA;Mischwald;2021;6.5;3.4;1.1;0.7;13.4;0.9;1.1;20.9;6.0;27.0;1514
