EXNMAX;n_ecosys;n_ecosys_cum_relative;year;parameter;source
-1.5;1;0.0011641443538998836;2020;max Ndep > CLO;BAFU
-0.5;4;0.005820721769499418;2020;max Ndep > CLO;BAFU
0.5;10;0.017462165308498253;2020;max Ndep > CLO;BAFU
1.5;20;0.04074505238649592;2020;max Ndep > CLO;BAFU
2.5;32;0.0779976717112922;2020;max Ndep > CLO;BAFU
3.5;57;0.14435389988358557;2020;max Ndep > CLO;BAFU
4.5;43;0.19441210710128057;2020;max Ndep > CLO;BAFU
5.5;73;0.27939464493597205;2020;max Ndep > CLO;BAFU
6.5;65;0.3550640279394645;2020;max Ndep > CLO;BAFU
7.5;54;0.4179278230500582;2020;max Ndep > CLO;BAFU
8.5;55;0.4819557625145518;2020;max Ndep > CLO;BAFU
9.5;53;0.5436554132712457;2020;max Ndep > CLO;BAFU
10.5;48;0.59953434225844;2020;max Ndep > CLO;BAFU
11.5;52;0.660069848661234;2020;max Ndep > CLO;BAFU
12.5;44;0.7112922002328289;2020;max Ndep > CLO;BAFU
13.5;40;0.7578579743888242;2020;max Ndep > CLO;BAFU
14.5;36;0.79976717112922;2020;max Ndep > CLO;BAFU
15.5;27;0.8311990686845169;2020;max Ndep > CLO;BAFU
16.5;26;0.8614668218859138;2020;max Ndep > CLO;BAFU
17.5;26;0.8917345750873108;2020;max Ndep > CLO;BAFU
18.5;19;0.9138533178114087;2020;max Ndep > CLO;BAFU
19.5;12;0.9278230500582072;2020;max Ndep > CLO;BAFU
20.5;8;0.9371362048894063;2020;max Ndep > CLO;BAFU
21.5;10;0.9487776484284052;2020;max Ndep > CLO;BAFU
22.5;4;0.9534342258440046;2020;max Ndep > CLO;BAFU
23.5;8;0.9627473806752037;2020;max Ndep > CLO;BAFU
24.5;3;0.9662398137369034;2020;max Ndep > CLO;BAFU
25.5;5;0.9720605355064028;2020;max Ndep > CLO;BAFU
27.5;6;0.9790454016298021;2020;max Ndep > CLO;BAFU
28.5;2;0.9813736903376019;2020;max Ndep > CLO;BAFU
29.5;4;0.9860302677532014;2020;max Ndep > CLO;BAFU
30.5;3;0.989522700814901;2020;max Ndep > CLO;BAFU
32.5;1;0.9906868451688009;2020;max Ndep > CLO;BAFU
33.5;1;0.9918509895227008;2020;max Ndep > CLO;BAFU
34.5;2;0.9941792782305006;2020;max Ndep > CLO;BAFU
35.5;1;0.9953434225844005;2020;max Ndep > CLO;BAFU
36.5;2;0.9976717112922002;2020;max Ndep > CLO;BAFU
40.5;2;1;2020;max Ndep > CLO;BAFU
